PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
201571,D.J. Augustin,1610612760,OKC,28.,6-0,72,183,Texas,USA,2008,1,9,34,142,43,66,-0.7,0.011,0.078,0.141,0.522,0.192
203081,Damian Lillard,1610612757,POR,25.,6-3,75,195,Weber State,USA,2012,1,6,47,1142,205,344,1.1,0.02,0.112,0.307,0.547,0.349
203996,Damien Inglis,1610612749,MIL,20.,6-8,80,246,None,France,2014,2,31,8,8,9,2,-29.9,0.028,0.205,0.148,0.41,0.095
204014,Damjan Rudez,1610612750,MIN,29.,6-9,81,230,None,Croatia,Undrafted,Undrafted,Undrafted,21,56,11,7,-4.1,0.02,0.049,0.127,0.627,0.053
201568,Danilo Gallinari,1610612743,DEN,27.,6-10,82,225,None,Italy,2008,1,6,48,947,259,125,-3.2,0.031,0.146,0.229,0.585,0.125
201980,Danny Green,1610612759,SAS,28.,6-6,78,215,North Carolina,USA,2009,2,46,53,400,207,97,11.6,0.027,0.14,0.15,0.507,0.095
201967,Dante Cunningham,1610612740,NOP,28.,6-8,80,230,Villanova,USA,2009,2,33,51,221,152,31,-4.4,0.035,0.14,0.097,0.538,0.042
201589,Darrell Arthur,1610612743,DEN,27.,6-9,81,235,Kansas,USA,2008,1,27,46,324,183,58,-1.1,0.062,0.149,0.168,0.508,0.101
201954,Darren Collison,1610612758,SAC,28.,6-0,72,175,UCLA,USA,2009,1,21,48,643,103,187,-2.4,0.015,0.068,0.2,0.581,0.214
1626199,Darrun Hilliard,1610612765,DET,22.,6-6,78,205,Villanova,USA,2015,2,38,22,84,20,14,2.8,0.021,0.086,0.198,0.523,0.111
101135,David Lee,1610612738,BOS,32.,6-9,81,245,Florida,USA,2005,1,30,30,214,130,54,-4.,0.093,0.212,0.235,0.499,0.201
2561,David West,1610612759,SAS,35.,6-9,81,250,Xavier,USA,2003,1,18,52,349,205,94,13.2,0.055,0.201,0.174,0.594,0.151
201599,DeAndre Jordan,1610612746,LAC,27.,6-11,83,265,Texas A&M,USA,2008,2,35,51,619,716,56,9.8,0.122,0.326,0.146,0.623,0.047
201971,DeJuan Blair,1610612764,WAS,26.,6-7,79,270,Pittsburgh,USA,2009,2,37,29,61,57,11,-11.4,0.097,0.203,0.172,0.414,0.077
201942,DeMar DeRozan,1610612761,TOR,26.,6-7,79,220,Southern California,USA,2009,1,9,52,1219,226,214,2.,0.025,0.114,0.296,0.548,0.214
202326,DeMarcus Cousins,1610612758,SAC,25.,6-11,83,270,Kentucky,USA,2010,1,5,44,1179,489,139,1.,0.074,0.267,0.351,0.537,0.161
201960,DeMarre Carroll,1610612761,TOR,29.,6-8,80,212,Missouri,USA,2009,1,27,23,268,110,24,0.1,0.041,0.131,0.181,0.485,0.054
1626153,Delon Wright,1610612761,TOR,23.,6-5,77,190,Utah,USA,2015,1,20,14,13,7,4,-12.4,0.024,0.128,0.226,0.391,0.2
203471,Dennis Schroder,1610612737,ATL,22.,6-1,73,172,None,Germany,2013,1,17,53,567,148,240,10.6,0.023,0.133,0.278,0.504,0.357
